temps (s);temps (ms);temps;ACTU;T2;LASER
1.514;1514;19715;23.71;23.45;23.18
1.517;1517;19718;23.71;23.45;23.18
1.52;1520;19721;23.71;23.45;23.18
1.523;1523;19724;23.71;23.45;23.18
1.526;1526;19727;23.71;23.45;23.18
1.53;1530;19731;23.71;23.45;23.18
1.533;1533;19734;23.71;23.45;23.18
1.536;1536;19737;23.71;23.36;23.18
1.539;1539;19740;23.80;23.45;23.18
1.542;1542;19743;23.71;23.45;23.09
1.545;1545;19746;23.80;23.45;23.18
1.548;1548;19749;23.71;23.45;23.18
1.551;1551;19752;23.71;23.45;23.18
1.556;1556;19757;23.80;23.45;23.18
1.559;1559;19760;23.71;23.45;23.18
1.562;1562;19763;23.71;23.45;23.18
1.565;1565;19766;23.71;23.45;23.18
1.568;1568;19769;23.71;23.45;23.18
1.571;1571;19772;23.80;23.45;23.18
1.575;1575;19776;23.80;23.45;23.18
1.578;1578;19779;23.71;23.45;23.18
1.581;1581;19782;23.71;23.36;23.18
1.584;1584;19785;23.80;23.45;23.18
1.587;1587;19788;23.71;23.45;23.18
1.59;1590;19791;23.71;23.36;23.18
1.593;1593;19794;23.80;23.45;23.18
1.598;1598;19799;23.71;23.45;23.18
1.601;1601;19802;23.71;23.45;23.18
1.604;1604;19805;23.80;23.45;23.18
1.607;1607;19808;23.71;23.45;23.18
1.61;1610;19811;23.80;23.36;23.18
1.613;1613;19814;23.71;23.45;23.18
1.617;1617;19818;23.71;23.45;23.18
1.62;1620;19821;23.71;23.45;23.18
1.623;1623;19824;23.80;23.45;23.18
1.626;1626;19827;23.71;23.45;23.18
1.629;1629;19830;23.80;23.45;23.18
1.632;1632;19833;23.71;23.45;23.18
1.635;1635;19836;23.80;23.45;23.18
1.64;1640;19841;23.80;23.45;23.18
1.643;1643;19844;23.80;23.45;23.09
1.646;1646;19847;23.71;23.45;23.18
1.649;1649;19850;23.80;23.45;23.18
1.652;1652;19853;23.80;23.45;23.18
1.655;1655;19856;23.80;23.45;23.18
1.659;1659;19860;23.71;23.45;23.18
1.662;1662;19863;23.80;23.45;23.18
1.665;1665;19866;23.80;23.45;23.18
1.668;1668;19869;23.80;23.45;23.18
1.671;1671;19872;23.71;23.36;23.18
1.674;1674;19875;23.80;23.45;23.18
1.677;1677;19878;23.71;23.45;23.18
1.68;1680;19881;23.80;23.45;23.18
1.685;1685;19886;23.80;23.45;23.18
1.688;1688;19889;23.71;23.45;23.09
1.691;1691;19892;23.80;23.45;23.18
1.694;1694;19895;23.80;23.45;23.09
1.697;1697;19898;23.80;23.45;23.18
1.7;1700;19901;23.80;23.45;23.18
1.704;1704;19905;23.80;23.36;23.18
1.707;1707;19908;23.80;23.45;23.18
1.71;1710;19911;23.80;23.45;23.18
1.713;1713;19914;23.71;23.45;23.18
1.716;1716;19917;23.71;23.36;23.18
1.719;1719;19920;23.80;23.45;23.18
1.722;1722;19923;23.80;23.36;23.18
1.727;1727;19928;23.80;23.45;23.18
1.73;1730;19931;23.80;23.45;23.18
1.733;1733;19934;23.80;23.45;23.18
1.736;1736;19937;23.80;23.45;23.18
1.739;1739;19940;23.80;23.45;23.18
1.742;1742;19943;23.80;23.45;23.18
1.745;1745;19946;23.80;23.45;23.18
1.749;1749;19950;23.80;23.45;23.18
1.752;1752;19953;23.80;23.45;23.18
1.755;1755;19956;23.80;23.45;23.18
1.758;1758;19959;23.80;23.36;23.18
1.761;1761;19962;23.80;23.36;23.18
1.764;1764;19965;23.80;23.45;23.18
1.768;1768;19969;23.80;23.45;23.18
1.772;1772;19973;23.80;23.45;23.18
1.775;1775;19976;23.80;23.45;23.18
1.778;1778;19979;23.71;23.45;23.18
1.781;1781;19982;23.80;23.45;23.18
1.784;1784;19985;23.80;23.45;23.18
1.787;1787;19988;23.80;23.45;23.18
1.791;1791;19992;23.80;23.45;23.18
1.794;1794;19995;23.80;23.45;23.18
1.797;1797;19998;23.80;23.45;23.18
1.8;1800;20001;23.80;23.45;23.18
1.803;1803;20004;23.80;23.45;23.18
1.806;1806;20007;23.80;23.45;23.18
1.81;1810;20011;23.80;23.45;23.18
1.814;1814;20015;23.80;23.45;23.18
1.817;1817;20018;23.80;23.45;23.18
1.82;1820;20021;23.80;23.45;23.18
1.823;1823;20024;23.80;23.45;23.18
1.826;1826;20027;23.80;23.45;23.18
1.829;1829;20030;23.80;23.45;23.18
1.832;1832;20033;23.80;23.45;23.18
1.836;1836;20037;23.80;23.45;23.18
1.839;1839;20040;23.80;23.45;23.18
1.842;1842;20043;23.80;23.45;23.18
1.845;1845;20046;23.80;23.45;23.18
1.848;1848;20049;23.80;23.45;23.18
1.851;1851;20052;23.80;23.45;23.18
1.856;1856;20057;23.80;23.45;23.18
1.859;1859;20060;23.80;23.45;23.18
1.862;1862;20063;23.80;23.45;23.18
1.865;1865;20066;23.80;23.45;23.18
1.868;1868;20069;23.80;23.45;23.18
1.871;1871;20072;23.80;23.45;23.18
1.874;1874;20075;23.80;23.45;23.18
1.878;1878;20079;23.80;23.45;23.18
1.881;1881;20082;23.80;23.45;23.18
1.884;1884;20085;23.80;23.45;23.18
1.887;1887;20088;23.80;23.45;23.18
1.89;1890;20091;23.80;23.45;23.18
1.893;1893;20094;23.80;23.45;23.18
1.897;1897;20098;23.80;23.45;23.18
1.901;1901;20102;23.80;23.45;23.18
1.904;1904;20105;23.80;23.45;23.18
1.907;1907;20108;23.80;23.45;23.18
1.91;1910;20111;23.80;23.45;23.18
1.913;1913;20114;23.80;23.45;23.18
1.916;1916;20117;23.80;23.45;23.18
1.919;1919;20120;23.80;23.45;23.18
1.923;1923;20124;23.80;23.45;23.18
1.926;1926;20127;23.80;23.36;23.18
1.929;1929;20130;23.80;23.45;23.18
1.932;1932;20133;23.80;23.45;23.18
1.935;1935;20136;23.80;23.45;23.18
1.939;1939;20140;23.80;23.45;23.18
1.943;1943;20144;23.80;23.45;23.18
1.946;1946;20147;23.80;23.45;23.18
1.949;1949;20150;23.80;23.45;23.18
1.952;1952;20153;23.80;23.45;23.18
1.955;1955;20156;23.80;23.45;23.18
1.958;1958;20159;23.89;23.45;23.18
1.961;1961;20162;23.80;23.45;23.18
1.964;1964;20165;23.80;23.45;23.18
1.968;1968;20169;23.80;23.45;23.18
1.971;1971;20172;23.80;23.45;23.18
1.974;1974;20175;23.80;23.45;23.09
1.977;1977;20178;23.89;23.45;23.18
1.981;1981;20182;23.80;23.45;23.18
1.984;1984;20185;23.80;23.45;23.18
1.988;1988;20189;23.80;23.45;23.18
1.991;1991;20192;23.80;23.45;23.18
1.994;1994;20195;23.80;23.45;23.18
1.997;1997;20198;23.80;23.45;23.18
2;2000;20201;23.80;23.45;23.18
2.003;2003;20204;23.80;23.45;23.18
2.006;2006;20207;23.80;23.45;23.18
2.01;2010;20211;23.89;23.45;23.18
2.013;2013;20214;23.80;23.45;23.18
2.016;2016;20217;23.89;23.45;23.18
2.019;2019;20220;23.80;23.45;23.18
2.023;2023;20224;23.80;23.45;23.18
2.026;2026;20227;23.80;23.45;23.18
2.029;2029;20230;23.89;23.45;23.18
2.033;2033;20234;23.80;23.45;23.18
2.036;2036;20237;23.89;23.45;23.18
2.039;2039;20240;23.89;23.45;23.18
2.042;2042;20243;23.80;23.45;23.18
2.045;2045;20246;23.80;23.45;23.18
2.048;2048;20249;23.89;23.45;23.18
2.051;2051;20252;23.80;23.45;23.18
2.055;2055;20256;23.89;23.45;23.18
2.058;2058;20259;23.80;23.45;23.09
2.061;2061;20262;23.89;23.45;23.18
2.064;2064;20265;23.80;23.45;23.18
2.068;2068;20269;23.89;23.45;23.18
2.071;2071;20272;23.89;23.45;23.18
2.075;2075;20276;23.89;23.45;23.18
2.078;2078;20279;23.89;23.45;23.18
2.081;2081;20282;23.80;23.45;23.18
