temps (s);temps (ms);temps;ACTU;MILIEU;LASER
238.06;238060;241086;46.91;41.68;37.84
238.563;238563;241589;46.91;41.68;37.84
239.067;239067;242093;46.91;41.68;37.94
239.569;239569;242595;46.91;41.68;37.94
240.073;240073;243099;46.91;41.79;37.94
240.576;240576;243602;46.91;41.79;37.94
241.08;241080;244106;46.91;41.79;37.94
241.584;241584;244610;46.91;41.79;37.94
242.086;242086;245112;46.91;41.79;38.05
242.59;242590;245616;46.91;41.79;38.05
243.093;243093;246119;46.91;41.90;38.05
243.597;243597;246623;46.91;41.90;38.05
244.1;244100;247126;46.91;41.90;38.15
244.603;244603;247629;46.91;41.90;38.15
245.106;245106;248132;47.04;42.01;38.15
245.61;245610;248636;46.91;42.01;38.25
246.113;246113;249139;47.04;42.01;38.15
246.617;246617;249643;47.04;42.01;38.25
247.119;247119;250145;47.04;42.01;38.25
247.623;247623;250649;47.04;42.12;38.25
248.126;248126;251152;47.04;42.12;38.25
248.63;248630;251656;47.04;42.12;38.36
249.134;249134;252160;47.04;42.23;38.36
249.636;249636;252662;47.04;42.23;38.36
250.14;250140;253166;47.04;42.23;38.36
250.643;250643;253669;47.04;42.23;38.36
251.147;251147;254173;47.04;42.35;38.46
251.649;251649;254675;47.04;42.35;38.46
252.153;252153;255179;47.04;42.35;38.46
252.656;252656;255682;47.04;42.35;38.46
253.16;253160;256186;47.04;42.35;38.57
253.663;253663;256689;47.04;42.35;38.57
254.166;254166;257192;47.04;42.35;38.67
254.669;254669;257695;47.04;42.46;38.67
255.173;255173;258199;47.04;42.46;38.67
255.677;255677;258703;47.04;42.46;38.67
256.18;256180;259206;47.04;42.57;38.67
256.683;256683;259709;47.04;42.57;38.78
257.186;257186;260212;47.04;42.57;38.78
257.69;257690;260716;47.04;42.57;38.78
258.193;258193;261219;47.04;42.57;38.78
258.697;258697;261723;47.04;42.68;38.78
259.199;259199;262225;47.04;42.68;38.78
259.703;259703;262729;47.04;42.68;38.78
260.206;260206;263232;47.16;42.68;38.88
260.71;260710;263736;47.16;42.68;38.88
261.214;261214;264240;47.16;42.68;38.88
261.716;261716;264742;47.16;42.68;38.88
262.219;262219;265245;47.16;42.80;38.88
262.723;262723;265749;47.04;42.80;38.88
263.227;263227;266253;47.16;42.80;38.88
263.73;263730;266756;47.16;42.80;38.99
264.233;264233;267259;47.16;42.80;38.99
264.736;264736;267762;47.16;42.80;38.99
265.24;265240;268266;47.16;42.91;38.99
265.743;265743;268769;47.16;42.91;39.09
266.247;266247;269273;47.16;42.91;39.09
266.749;266749;269775;47.16;42.91;39.09
267.253;267253;270279;47.16;42.91;39.09
267.756;267756;270782;47.16;43.02;39.09
268.26;268260;271286;47.16;43.02;39.09
268.763;268763;271789;47.16;43.02;39.20
269.266;269266;272292;47.16;43.02;39.20
269.769;269769;272795;47.16;43.02;39.20
270.273;270273;273299;47.16;43.02;39.20
270.777;270777;273803;47.16;43.02;39.30
271.28;271280;274306;47.16;43.14;39.30
271.783;271783;274809;47.16;43.14;39.30
272.286;272286;275312;47.16;43.14;39.30
272.79;272790;275816;47.16;43.14;39.30
273.293;273293;276319;47.16;43.14;39.30
273.797;273797;276823;47.16;43.14;39.41
274.299;274299;277325;47.16;43.14;39.41
274.803;274803;277829;47.16;43.25;39.41
275.306;275306;278332;47.16;43.25;39.41
275.81;275810;278836;47.16;43.25;39.41
276.313;276313;279339;47.16;43.25;39.51
